id;emp_id;emp_name;emp_job;emp_address;emp_salary
1;47933;web;Communications cyan;Tuna Hybrid female;78321
2;50330;bandwidth amongst negligible;likewise Associate;male;95076
3;31764;Minivan;continually;outside orange drive;93455
4;19180;North Buckinghamshire;Supervisor visualize Program;lest Sum circuit;47035
5;58021;Islands about;Van Electronic ah;phony;92219
6;24845;Interactions juicy;indexing;Elegant Santa;44281
7;70906;lime unite Maserati;compress North;motivating Sausages UDP;30293
8;93925;fugiat Shoes;West Antimony Progressive;Group Steel;47130
9;6195;Account withdrawal Northeast;Shoals paradigms connect;transition Analyst submissive;53278
10;27448;West;till Branding Janis;Seaborgium;25108
